,code,name,src
0,TS0,密集调研,ts
1,TS1,南北船合并,ts
2,TS2,5G,ts
3,TS3,机场,ts
4,TS4,高价股,ts
5,TS5,烧碱,ts
6,TS6,AH溢价股,ts
7,TS7,保险,ts
8,TS8,PVC,ts
9,TS9,啤酒,ts
10,TS10,火电,ts
11,TS11,银行,ts
12,TS12,碳纤维,ts
13,TS13,安邦系,ts
14,TS14,特高压,ts
15,TS15,高股息,ts
16,TS16,光通信,ts
17,TS17,草甘膦,ts
18,TS18,高速公路,ts
19,TS19,有色-铝,ts
20,TS20,有色-锆,ts
21,TS21,主题公园,ts
22,TS22,白马股,ts
23,TS23,雄安-地产,ts
24,TS24,OLED,ts
25,TS25,MSCI,ts
26,TS26,健康中国,ts
27,TS27,养老金持股,ts
28,TS28,水电,ts
29,TS29,环氧丙烷,ts
30,TS30,PCB板,ts
31,TS31,煤炭,ts
32,TS32,中字头,ts
33,TS33,血制品,ts
34,TS34,钢铁,ts
35,TS35,油服,ts
36,TS36,内蒙古,ts
37,TS37,券商,ts
38,TS38,有色-锌,ts
39,TS39,人民币升值受益,ts
40,TS40,阿里巴巴概念股,ts
41,TS41,有色-锑,ts
42,TS42,海工装备,ts
43,TS43,新能源整车,ts
44,TS44,涤纶,ts
45,TS45,振兴东北,ts
46,TS46,有色-镁,ts
47,TS47,油气改革,ts
48,TS48,一带一路,ts
49,TS49,新进指数成份股,ts
50,TS50,玻纤,ts
51,TS51,大消费,ts
52,TS52,被动元件,ts
53,TS53,北汽新能源,ts
54,TS54,可燃冰,ts
55,TS55,东盟博览会,ts
56,TS56,电改,ts
57,TS57,石墨电极,ts
58,TS58,北京城市规划,ts
59,TS59,特斯拉,ts
60,TS60,赛马,ts
61,TS61,航运,ts
62,TS62,金改,ts
63,TS63,超级高铁,ts
64,TS64,农药,ts
65,TS65,汽车整车,ts
66,TS66,次新股,ts
67,TS67,安徽国企改革,ts
68,TS68,水务,ts
69,TS69,混改,ts
70,TS70,PD-1抑制剂,ts
71,TS71,二胎,ts
72,TS72,固废处理,ts
73,TS73,医药商业,ts
74,TS74,教育,ts
75,TS75,军工混改,ts
76,TS76,海底捞概念股,ts
77,TS77,国家队重仓,ts
78,TS78,硅锰,ts
79,TS79,高送转-预期,ts
80,TS80,央企改革,ts
81,TS81,有机硅,ts
82,TS82,民营医院,ts
83,TS83,华为产业链,ts
84,TS84,蔚来汽车概念股,ts
85,TS85,甲醇,ts
86,TS86,军工研究所,ts
87,TS87,港口,ts
88,TS88,社保重仓,ts
89,TS89,美团概念股,ts
90,TS90,纯碱,ts
91,TS91,转基因,ts
92,TS92,旅游,ts
93,TS93,福建自贸区,ts
94,TS94,核电,ts
95,TS95,乡村振兴,ts
96,TS96,调味品,ts
97,TS97,大飞机,ts
98,TS98,回购,ts
99,TS99,通用航空,ts
100,TS100,白酒,ts
101,TS101,汽车销售,ts
102,TS102,重庆国企改革,ts
103,TS103,制冷剂,ts
104,TS104,航母,ts
105,TS105,新零售,ts
106,TS106,饲料,ts
107,TS107,空铁WiFi,ts
108,TS108,有色金属,ts
109,TS109,养猪,ts
110,TS110,芬太尼概念,ts
111,TS111,业绩预增,ts
112,TS112,参股券商,ts
113,TS113,园林,ts
114,TS114,宝能系,ts
115,TS115,破净股,ts
116,TS116,饮料,ts
117,TS117,风电,ts
118,TS118,粤港澳大湾区,ts
119,TS119,棉花,ts
120,TS120,中科院系,ts
121,TS121,页岩气,ts
122,TS122,重卡,ts
123,TS123,供应链金融,ts
124,TS124,保健品,ts
125,TS125,锦纶（尼龙）,ts
126,TS126,染料,ts
127,TS127,军工,ts
128,TS128,纺织服装,ts
129,TS129,天然气,ts
130,TS130,军民融合,ts
131,TS131,石油化工,ts
132,TS132,浙江国企改革,ts
133,TS133,无人机,ts
134,TS134,有色-镍,ts
135,TS135,养鸡,ts
136,TS136,兜底式增持,ts
137,TS137,有色-钴,ts
138,TS138,汽车零部件,ts
139,TS139,有色-钼,ts
140,TS140,炭黑,ts
141,TS141,大基建,ts
142,TS142,物联网,ts
143,TS143,百度概念股,ts
144,TS144,筹码集中,ts
145,TS145,宁德时代概念股,ts
146,TS146,光伏,ts
147,TS147,信托,ts
148,TS148,储能,ts
149,TS149,装配式建筑,ts
150,TS150,煤化工,ts
151,TS151,脑科学,ts
152,TS152,食品,ts
153,TS153,无人驾驶,ts
154,TS154,债转股-AMC,ts
155,TS155,湖南国企改革,ts
156,TS156,新疆,ts
157,TS157,雄安-园林环保,ts
158,TS158,雄安-金融,ts
159,TS159,中韩自贸区,ts
160,TS160,恒大概念股,ts
161,TS161,智慧物流,ts
162,TS162,谷歌概念股,ts
163,TS163,雄安-智慧城市,ts
164,TS164,化肥,ts
165,TS165,特色小镇,ts
166,TS166,养老产业,ts
167,TS167,厨卫家电,ts
168,TS168,农垦,ts
169,TS169,农机,ts
170,TS170,定增破发,ts
171,TS171,稀土磁材,ts
172,TS172,休闲食品,ts
173,TS173,小家电,ts
174,TS174,有色-钨,ts
175,TS175,工业自动化,ts
176,TS176,智能仪表,ts
177,TS177,雄安-建材,ts
178,TS178,乳业（奶粉）,ts
179,TS179,山西国企改革,ts
180,TS180,水泥,ts
181,TS181,地下管廊,ts
182,TS182,轮胎,ts
183,TS183,铁总混改,ts
184,TS184,机械,ts
185,TS185,环杭州湾大湾区,ts
186,TS186,高质押率,ts
187,TS187,雄安-公共服务,ts
188,TS188,河南自贸区,ts
189,TS189,山东国企改革,ts
190,TS190,医药,ts
191,TS191,太赫兹,ts
192,TS192,万达系,ts
193,TS193,白色家电,ts
194,TS194,白糖,ts
195,TS195,水利,ts
196,TS196,中药,ts
197,TS197,智慧停车,ts
198,TS198,大气治理,ts
199,TS199,房地产,ts
200,TS200,创新药,ts
201,TS201,海绵城市,ts
202,TS202,北斗导航,ts
203,TS203,铁矿石,ts
